[INFO][cal.go:93]2021/05/02 12:53:00 [剩余钱：71.528320, 剩余币：32.928000, 订单中的钱：9.294000, 订单中的币：0.000000, 如果现在平仓盈利：1.000647, 币价格涨幅：0.987016]
[INFO][cal.go:93]2021/05/02 13:17:29 [剩余钱：71.528320, 剩余币：35.925000, 订单中的钱：4.590900, 订单中的币：0.000000, 如果现在平仓盈利：0.997806, 币价格涨幅：0.994131]
[INFO][cal.go:93]2021/05/02 13:22:58 [剩余钱：71.556884, 剩余币：32.925000, 订单中的钱：9.293700, 订单中的币：0.000000, 如果现在平仓盈利：1.001767, 币价格涨幅：0.984646]
[INFO][cal.go:93]2021/05/02 13:26:48 [剩余钱：76.322114, 剩余币：29.925000, 订单中的钱：9.293700, 订单中的币：0.000000, 如果现在平仓盈利：1.003542, 币价格涨幅：0.980126]
[INFO][cal.go:93]2021/05/02 13:52:26 [剩余钱：71.586914, 剩余币：29.922000, 订单中的钱：9.293700, 订单中的币：3.000000, 如果现在平仓盈利：1.000842, 币价格涨幅：0.987454]
[INFO][cal.go:93]2021/05/02 13:59:33 [剩余钱：66.852314, 剩余币：32.919000, 订单中的钱：9.293700, 订单中的币：3.000000, 如果现在平仓盈利：1.000400, 币价格涨幅：0.988393]
[INFO][cal.go:93]2021/05/02 14:14:28 [剩余钱：76.379178, 剩余币：29.919000, 订单中的钱：9.293700, 订单中的币：0.000000, 如果现在平仓盈利：1.004239, 币价格涨幅：0.979202]
[INFO][cal.go:93]2021/05/02 14:43:52 [剩余钱：71.644878, 剩余币：32.916000, 订单中的钱：9.293700, 订单中的币：0.000000, 如果现在平仓盈利：1.001182, 币价格涨幅：0.987517]
[INFO][cal.go:93]2021/05/02 15:22:23 [剩余钱：71.644878, 剩余币：35.913000, 订单中的钱：4.590900, 订单中的币：0.000000, 如果现在平仓盈利：0.998543, 币价格涨幅：0.994131]
[INFO][cal.go:93]2021/05/02 15:24:46 [剩余钱：66.944178, 剩余币：38.910000, 订单中的钱：4.590900, 订单中的币：0.000000, 如果现在平仓盈利：0.998318, 币价格涨幅：0.994575]
[INFO][cal.go:93]2021/05/02 15:30:28 [剩余钱：62.282478, 剩余币：41.907000, 订单中的钱：4.590900, 订单中的币：0.000000, 如果现在平仓盈利：0.994472, 币价格涨幅：1.002896]
[INFO][cal.go:93]2021/05/02 15:40:21 [剩余钱：66.972483, 剩余币：38.907000, 订单中的钱：4.590900, 订单中的币：0.000000, 如果现在平仓盈利：0.997939, 币价格涨幅：0.995783]
[INFO][cal.go:93]2021/05/02 15:48:22 [剩余钱：67.000491, 剩余币：35.907000, 订单中的钱：9.250800, 订单中的币：0.000000, 如果现在平仓盈利：0.997723, 币价格涨幅：0.996165]
[INFO][cal.go:93]2021/05/02 16:11:35 [剩余钱：67.000491, 剩余币：38.904000, 订单中的钱：4.590900, 订单中的币：0.000000, 如果现在平仓盈利：0.994685, 币价格涨幅：1.003283]
[INFO][cal.go:93]2021/05/02 16:12:42 [剩余钱：62.340891, 剩余币：41.901000, 订单中的钱：4.590900, 订单中的币：0.000000, 如果现在平仓盈利：0.994558, 币价格涨幅：1.003477]
[INFO][cal.go:93]2021/05/02 16:38:12 [剩余钱：62.368932, 剩余币：38.901000, 订单中的钱：9.217200, 订单中的币：0.000000, 如果现在平仓盈利：0.994640, 币价格涨幅：1.003219]
[INFO][cal.go:93]2021/05/02 17:21:10 [剩余钱：57.709932, 剩余币：38.898000, 订单中的钱：9.217200, 订单中的币：3.000000, 如果现在平仓盈利：0.994487, 币价格涨幅：1.003477]
[INFO][cal.go:93]2021/05/02 17:34:00 [剩余钱：57.709932, 剩余币：41.895000, 订单中的钱：4.590900, 订单中的币：3.000000, 如果现在平仓盈利：0.990978, 币价格涨幅：1.010636]
[INFO][cal.go:93]2021/05/02 17:36:49 [剩余钱：57.737673, 剩余币：38.895000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：0.994754, 币价格涨幅：1.003283]
[INFO][cal.go:93]2021/05/02 17:51:15 [剩余钱：62.424382, 剩余币：35.895000, 订单中的钱：9.216900, 订单中的币：3.000000, 如果现在平仓盈利：0.998033, 币价格涨幅：0.996547]
[INFO][cal.go:93]2021/05/02 17:51:16 [剩余钱：67.111989, 剩余币：35.895000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：0.998085, 币价格涨幅：0.996356]
[INFO][cal.go:93]2021/05/02 18:16:05 [剩余钱：71.831965, 剩余币：32.895000, 订单中的钱：9.216900, 订单中的币：0.000000, 如果现在平仓盈利：1.001020, 币价格涨幅：0.989397]
